Mac Prefix,Vendor Name,Private,Block Type,Last Update
00:00:0C,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
00:00:0D,FIBRONICS LTD.,FALSE,MA-L,11/17/2015
00:00:0E,FUJITSU LIMITED,FALSE,MA-L,10/13/2018
00:00:1B,"Novell, Inc.",FALSE,MA-L,4/27/2016
0:00:23,ABB INDUSTRIAL SYSTEMS AB,FALSE,MA-L,11/17/2015
0:00:31,"QPSX COMMUNICATIONS, LTD.",FALSE,MA-L,4/11/2016
0:00:37,OXFORD METRICS LIMITED,FALSE,MA-L,11/17/2015
00:00:3C,AUSPEX SYSTEMS INC.,FALSE,MA-L,11/17/2015
00:00:3E,SIMPACT,FALSE,MA-L,11/17/2015
00:00:3F,"SYNTREX, INC.",FALSE,MA-L,11/17/2015
0:00:46,OLIVETTI NORTH AMERICA,FALSE,MA-L,11/17/2015
0:00:49,"APRICOT COMPUTERS, LTD",FALSE,MA-L,11/17/2015
00:00:4A,ADC CODENOLL TECHNOLOGY CORP.,FALSE,MA-L,11/17/2015
00:00:4C,NEC Corporation,FALSE,MA-L,7/2/2019
0:00:50,RADISYS CORPORATION,FALSE,MA-L,11/17/2015
0:00:51,HOB ELECTRONIC GMBH & CO. KG,FALSE,MA-L,11/17/2015
0:00:52,"Intrusion.com, Inc.",FALSE,MA-L,10/24/2001
0:00:58,RACORE COMPUTER PRODUCTS INC.,FALSE,MA-L,11/17/2015
00:00:5A,SysKonnect GmbH,FALSE,MA-L,11/17/2015
00:00:5E,"ICANN, IANA Department",FALSE,MA-L,11/17/2015
00:00:5F,"Sumitomo Electric Industries, Ltd",FALSE,MA-L,5/28/2020
0.000706019,GATEWAY COMMUNICATIONS,FALSE,MA-L,11/17/2015
0.000740741,Yokogawa Digital Computer Corporation,FALSE,MA-L,8/12/2016
0.000752315,Network General Corporation,FALSE,MA-L,11/17/2015
0.000787037,ROSEMOUNT CONTROLS,FALSE,MA-L,11/17/2015
00:00:6D,"CRAY COMMUNICATIONS, LTD.",FALSE,MA-L,11/17/2015
00:00:6E,Artisoft Inc.,FALSE,MA-L,11/17/2015
00:00:6F,Madge Ltd.,FALSE,MA-L,11/17/2015
0.000856481,RICOH COMPANY LTD.,FALSE,MA-L,11/17/2015
0.000914352,NETWORTH INCORPORATED,FALSE,MA-L,11/17/2015
00:00:7D,Oracle Corporation,FALSE,MA-L,11/17/2015
00:00:7F,LINOTYPE-HELL AG,FALSE,MA-L,11/17/2015
0.000925926,CRAY COMMUNICATIONS A/S,FALSE,MA-L,11/17/2015
0.0009375,Bay Networks,FALSE,MA-L,11/17/2015
00:00:8A,DATAHOUSE INFORMATION SYSTEMS,FALSE,MA-L,11/17/2015
0.001087963,ASANTE TECHNOLOGIES,FALSE,MA-L,11/17/2015
0.001134259,CROSSCOMM CORPORATION,FALSE,MA-L,11/17/2015
0.001145833,"MTX, INC.",FALSE,MA-L,11/17/2015
00:00:A2,Bay Networks,FALSE,MA-L,11/17/2015
00:00:A3,NETWORK APPLICATION TECHNOLOGY,FALSE,MA-L,11/17/2015
00:00:A4,ACORN COMPUTERS LIMITED,FALSE,MA-L,11/17/2015
00:00:A5,Tattile SRL,FALSE,MA-L,11/17/2015
00:00:A7,NETWORK COMPUTING DEVICES INC.,FALSE,MA-L,11/17/2015
00:00:A8,Stratus Technologies,FALSE,MA-L,1/28/2018
00:00:A9,NETWORK SYSTEMS CORP.,FALSE,MA-L,11/17/2015
00:00:AA,XEROX CORPORATION,FALSE,MA-L,11/17/2015
00:00:AE,DASSAULT ELECTRONIQUE,FALSE,MA-L,11/17/2015
00:00:B1,Alpha Micro,FALSE,MA-L,11/17/2015
00:00:B4,Edimax Technology Co. Ltd.,FALSE,MA-L,7/23/2017
00:00:B6,MICRO-MATIC RESEARCH,FALSE,MA-L,11/17/2015
00:00:B7,DOVE COMPUTER CORPORATION,FALSE,MA-L,11/17/2015
00:00:BC,Rockwell Automation,FALSE,MA-L,11/17/2015
00:00:C1,Madge Ltd.,FALSE,MA-L,11/17/2015
00:00:CC,"DENSAN CO., LTD.",FALSE,MA-L,11/17/2015
00:00:CD,Allied Telesis Labs Ltd,FALSE,MA-L,11/17/2015
00:00:D0,DEVELCON ELECTRONICS LTD.,FALSE,MA-L,11/17/2015
00:00:D2,"SBE, INC.",FALSE,MA-L,11/17/2015
00:00:E3,INTEGRATED MICRO PRODUCTS LTD,FALSE,MA-L,11/17/2015
00:00:E6,APTOR PRODUITS DE COMM INDUST,FALSE,MA-L,11/17/2015
00:00:E7,Star Gate Technologies,FALSE,MA-L,11/17/2015
00:00:E8,ACCTON TECHNOLOGY CORP.,FALSE,MA-L,11/17/2015
00:00:E9,"ISICAD, INC.",FALSE,MA-L,11/17/2015
00:00:ED,APRIL,FALSE,MA-L,11/17/2015
00:00:F2,SPIDER COMMUNICATIONS,FALSE,MA-L,11/17/2015
00:00:F4,"Allied Telesis, Inc.",FALSE,MA-L,11/17/2015
00:00:F6,APPLIED MICROSYSTEMS CORP.,FALSE,MA-L,11/17/2015
00:00:F8,DIGITAL EQUIPMENT CORPORATION,FALSE,MA-L,11/17/2015
00:00:FB,RECHNER ZUR KOMMUNIKATION,FALSE,MA-L,11/17/2015
00:01:FE,DIGITAL EQUIPMENT CORPORATION,FALSE,MA-L,11/17/2015
0.002164352,"NODE RUNNER, INC.",FALSE,MA-L,11/17/2015
0.002407407,GLOBAL VILLAGE COMMUNICATION,FALSE,MA-L,11/17/2015
0:04:00,"LEXMARK INTERNATIONAL, INC.",FALSE,MA-L,11/17/2015
00:04:AC,IBM Corp,FALSE,MA-L,11/17/2015
0:05:02,"Apple, Inc.",FALSE,MA-L,10/11/2017
00:05:A8,WYLE ELECTRONICS,FALSE,MA-L,11/17/2015
0:06:29,IBM Corp,FALSE,MA-L,11/17/2015
00:06:7C,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
00:06:C1,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
0:07:01,RACAL-DATACOM,FALSE,MA-L,11/17/2015
0:08:00,"MULTITECH SYSTEMS, INC.",FALSE,MA-L,11/17/2015
0:10:00,"CABLE TELEVISION LABORATORIES, INC.",FALSE,MA-L,11/17/2015
0:10:01,Citel,FALSE,MA-L,11/17/2015
0:10:02,ACTIA,FALSE,MA-L,11/17/2015
0:10:03,"IMATRON, INC.",FALSE,MA-L,11/17/2015
0:10:04,"THE BRANTLEY COILE COMPANY,INC",FALSE,MA-L,11/17/2015
0:10:05,UEC COMMERCIAL,FALSE,MA-L,11/17/2015
0:10:06,Thales Contact Solutions Ltd.,FALSE,MA-L,11/17/2015
0:10:07,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
0:10:08,VIENNA SYSTEMS CORPORATION,FALSE,MA-L,11/17/2015
0:10:09,HORANET,FALSE,MA-L,4/22/2017
00:10:0A,WILLIAMS COMMUNICATIONS GROUP,FALSE,MA-L,11/17/2015
00:10:0B,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
00:10:0C,"ITO CO., LTD.",FALSE,MA-L,11/17/2015
00:10:0D,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
00:10:0E,MICRO LINEAR COPORATION,FALSE,MA-L,11/17/2015
00:10:0F,INDUSTRIAL CPU SYSTEMS,FALSE,MA-L,11/17/2015
0:10:10,INITIO CORPORATION,FALSE,MA-L,11/17/2015
0:10:11,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
0:10:12,PROCESSOR SYSTEMS (I) PVT LTD,FALSE,MA-L,11/17/2015
0:10:13,"Kontron America, Inc.",FALSE,MA-L,11/17/2015
0:10:14,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
0:10:15,OOmon Inc.,FALSE,MA-L,11/17/2015
0:10:16,T.SQWARE,FALSE,MA-L,11/17/2015
0:10:17,Bosch Access Systems GmbH,FALSE,MA-L,11/17/2015
0:10:18,Broadcom,FALSE,MA-L,11/17/2015
0:10:19,SIRONA DENTAL SYSTEMS GmbH & Co. KG,FALSE,MA-L,11/17/2015
00:10:1A,PictureTel Corp.,FALSE,MA-L,11/17/2015
00:10:1B,"CORNET TECHNOLOGY, INC.",FALSE,MA-L,11/17/2015
00:10:1C,"OHM TECHNOLOGIES INTL, LLC",FALSE,MA-L,11/17/2015
00:10:1D,WINBOND ELECTRONICS CORP.,FALSE,MA-L,11/17/2015
00:10:1E,MATSUSHITA ELECTRONIC INSTRUMENTS CORP.,FALSE,MA-L,11/17/2015
00:10:1F,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
0:10:20,Hand Held Products Inc,FALSE,MA-L,11/17/2015
0:10:21,"ENCANTO NETWORKS, INC.",FALSE,MA-L,11/17/2015
0:10:22,SatCom Media Corporation,FALSE,MA-L,11/17/2015
0:10:23,Network Equipment Technologies,FALSE,MA-L,11/17/2015
0:10:24,"NAGOYA ELECTRIC WORKS CO., LTD",FALSE,MA-L,11/17/2015
0:10:25,"Grayhill, Inc",FALSE,MA-L,11/17/2015
0:10:26,"ACCELERATED NETWORKS, INC.",FALSE,MA-L,11/17/2015
0:10:27,L-3 COMMUNICATIONS EAST,FALSE,MA-L,11/17/2015
0:10:28,"COMPUTER TECHNICA, INC.",FALSE,MA-L,11/17/2015
0:10:29,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
00:10:2A,"ZF MICROSYSTEMS, INC.",FALSE,MA-L,11/17/2015
00:10:2B,"UMAX DATA SYSTEMS, INC.",FALSE,MA-L,11/17/2015
00:10:2C,Lasat Networks A/S,FALSE,MA-L,11/17/2015
00:10:2D,HITACHI SOFTWARE ENGINEERING,FALSE,MA-L,11/17/2015
00:10:2E,NETWORK SYSTEMS & TECHNOLOGIES PVT. LTD.,FALSE,MA-L,11/17/2015
00:10:2F,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
0:10:30,EION Inc.,FALSE,MA-L,11/17/2015
0:10:31,"OBJECTIVE COMMUNICATIONS, INC.",FALSE,MA-L,11/17/2015
0:10:32,ALTA TECHNOLOGY,FALSE,MA-L,11/17/2015
0:10:33,"ACCESSLAN COMMUNICATIONS, INC.",FALSE,MA-L,11/17/2015
0:10:34,GNP Computers,FALSE,MA-L,11/17/2015
0:10:35,"Elitegroup Computer Systems Co.,Ltd.",FALSE,MA-L,7/2/2019
0:10:36,INTER-TEL INTEGRATED SYSTEMS,FALSE,MA-L,11/17/2015
0:10:37,"CYQ've Technology Co., Ltd.",FALSE,MA-L,11/17/2015
0:10:38,Micro Research Ltd.,FALSE,MA-L,10/5/2019
0:10:39,Vectron Systems AG,FALSE,MA-L,11/17/2015
00:10:3A,DIAMOND NETWORK TECH,FALSE,MA-L,11/17/2015
00:10:3B,HIPPI NETWORKING FORUM,FALSE,MA-L,11/17/2015
00:10:3C,"IC ENSEMBLE, INC.",FALSE,MA-L,11/17/2015
00:10:3D,"PHASECOM, LTD.",FALSE,MA-L,11/17/2015
00:10:3E,NETSCHOOLS CORPORATION,FALSE,MA-L,11/17/2015
00:10:3F,"TOLLGRADE COMMUNICATIONS, INC.",FALSE,MA-L,11/17/2015
0:10:40,INTERMEC CORPORATION,FALSE,MA-L,11/17/2015
0:10:41,"BRISTOL BABCOCK, INC.",FALSE,MA-L,11/17/2015
0:10:43,A2 CORPORATION,FALSE,MA-L,12/24/2021
0:10:44,InnoLabs Corporation,FALSE,MA-L,11/17/2015
0:10:45,Nortel Networks,FALSE,MA-L,11/17/2015
0:10:46,ALCORN MCBRIDE INC.,FALSE,MA-L,11/17/2015
0:10:47,ECHO ELETRIC CO. LTD.,FALSE,MA-L,11/17/2015
0:10:48,"HTRC AUTOMATION, INC.",FALSE,MA-L,11/17/2015
0:10:49,"ShoreTel, Inc",FALSE,MA-L,11/17/2015
00:10:4A,The Parvus Corporation,FALSE,MA-L,11/17/2015
00:10:4B,3COM,FALSE,MA-L,6/2/2018
00:10:4C,"Teledyne LeCroy, Inc",FALSE,MA-L,11/17/2015
00:10:4D,"SURTEC INDUSTRIES, INC.",FALSE,MA-L,11/17/2015
00:10:4E,CEOLOGIC,FALSE,MA-L,11/17/2015
00:10:4F,Oracle Corporation,FALSE,MA-L,2/10/2016
0:10:50,"RION CO., LTD.",FALSE,MA-L,11/17/2015
0:10:51,CMICRO CORPORATION,FALSE,MA-L,11/17/2015
0:10:52,METTLER-TOLEDO (ALBSTADT) GMBH,FALSE,MA-L,11/17/2015
0:10:53,COMPUTER TECHNOLOGY CORP.,FALSE,MA-L,11/17/2015
0:10:55,"FUJITSU MICROELECTRONICS, INC.",FALSE,MA-L,11/17/2015
0:10:56,"SODICK CO., LTD.",FALSE,MA-L,11/17/2015
0:10:57,"Rebel.com, Inc.",FALSE,MA-L,11/17/2015
0:10:58,ArrowPoint Communications,FALSE,MA-L,11/17/2015
0:10:59,DIABLO RESEARCH CO. LLC,FALSE,MA-L,11/17/2015
00:10:5A,3COM,FALSE,MA-L,6/2/2018
00:10:5B,NET INSIGHT AB,FALSE,MA-L,11/17/2015
00:10:5C,QUANTUM DESIGNS (H.K.) LTD.,FALSE,MA-L,11/17/2015
00:10:5D,Draeger Medical,FALSE,MA-L,11/17/2015
00:10:5E,"Spirent plc, Service Assurance Broadband",FALSE,MA-L,11/17/2015
00:10:5F,ZODIAC DATA SYSTEMS,FALSE,MA-L,11/17/2015
0.007638889,"BILLIONTON SYSTEMS, INC.",FALSE,MA-L,11/17/2015
0.007650463,HOSTLINK CORP.,FALSE,MA-L,11/17/2015
0.007662037,"NX SERVER, ILNC.",FALSE,MA-L,11/17/2015
0.007673611,STARGUIDE DIGITAL NETWORKS,FALSE,MA-L,11/17/2015
0.007685185,"DNPG, LLC",FALSE,MA-L,11/17/2015
0.007696759,RADYNE CORPORATION,FALSE,MA-L,11/17/2015
0.007708333,"ADVANCED CONTROL SYSTEMS, INC.",FALSE,MA-L,11/17/2015
0.007719907,Ericsson,FALSE,MA-L,11/17/2015
0.007731481,COMOS TELECOM,FALSE,MA-L,11/17/2015
0.007743056,"HELIOSS COMMUNICATIONS, INC.",FALSE,MA-L,11/17/2015
00:10:6A,DIGITAL MICROWAVE CORPORATION,FALSE,MA-L,11/17/2015
00:10:6B,"SONUS NETWORKS, INC.",FALSE,MA-L,11/17/2015
00:10:6C,EDNT GmbH,FALSE,MA-L,11/17/2015
00:10:6D,Axxcelera Broadband Wireless,FALSE,MA-L,11/17/2015
00:10:6F,TRENTON TECHNOLOGY INC.,FALSE,MA-L,11/17/2015
0.00775463,CARADON TREND LTD.,FALSE,MA-L,11/17/2015
0.007766204,ADVANET INC.,FALSE,MA-L,11/17/2015
0.007777778,"GVN TECHNOLOGIES, INC.",FALSE,MA-L,11/17/2015
0.007789352,"TECHNOBOX, INC.",FALSE,MA-L,11/17/2015
0.007800926,"ATEN INTERNATIONAL CO., LTD.",FALSE,MA-L,11/17/2015
0.0078125,Segate Technology LLC,FALSE,MA-L,11/17/2015
0.007824074,EUREM GmbH,FALSE,MA-L,11/17/2015
0.007835648,"SAF DRIVE SYSTEMS, LTD.",FALSE,MA-L,11/17/2015
0.007847222,"NUERA COMMUNICATIONS, INC.",FALSE,MA-L,11/17/2015
0.007858796,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
00:10:7A,"AmbiCom, Inc.",FALSE,MA-L,11/17/2015
00:10:7B,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
00:10:7C,"P-COM, INC.",FALSE,MA-L,11/17/2015
00:10:7D,"AURORA COMMUNICATIONS, LTD.",FALSE,MA-L,11/17/2015
00:10:7E,BACHMANN ELECTRONIC GmbH,FALSE,MA-L,11/17/2015
00:10:7F,"CRESTRON ELECTRONICS, INC.",FALSE,MA-L,1/24/2020
0.00787037,METAWAVE COMMUNICATIONS,FALSE,MA-L,11/17/2015
0.007881944,"DPS, INC.",FALSE,MA-L,11/17/2015
0.007893519,JNA TELECOMMUNICATIONS LIMITED,FALSE,MA-L,11/17/2015
0.007905093,Hewlett Packard,FALSE,MA-L,11/17/2015
0.007916667,K-BOT COMMUNICATIONS,FALSE,MA-L,11/17/2015
0.007928241,"POLARIS COMMUNICATIONS, INC.",FALSE,MA-L,11/17/2015
0.007939815,"ATTO Technology, Inc.",FALSE,MA-L,11/17/2015
0.007951389,XSTREAMIS PLC,FALSE,MA-L,7/2/2019
0.007962963,AMERICAN NETWORKS INC.,FALSE,MA-L,11/17/2015
0.007974537,WebSonic,FALSE,MA-L,11/17/2015
00:10:8A,"TeraLogic, Inc.",FALSE,MA-L,11/17/2015
00:10:8B,LASERANIMATION SOLLINGER GMBH,FALSE,MA-L,11/17/2015
00:10:8C,Fujitsu Services Ltd,FALSE,MA-L,11/17/2016
00:10:8D,"Johnson Controls, Inc.",FALSE,MA-L,11/17/2015
00:10:8E,HUGH SYMONS CONCEPT Technologies Ltd.,FALSE,MA-L,11/17/2015
00:10:8F,RAPTOR SYSTEMS,FALSE,MA-L,11/17/2015
0.007986111,"CIMETRICS, INC.",FALSE,MA-L,11/17/2015
0.007997685,NO WIRES NEEDED BV,FALSE,MA-L,11/17/2015
0.008009259,NETCORE INC.,FALSE,MA-L,11/17/2015
0.008032407,"Performance Analysis Broadband, Spirent plc",FALSE,MA-L,11/17/2015
0.008043981,Thomson Inc.,FALSE,MA-L,11/17/2015
0.008055556,"TRACEWELL SYSTEMS, INC.",FALSE,MA-L,11/17/2015
0.00806713,"WinNet Metropolitan Communications Systems, Inc.",FALSE,MA-L,11/17/2015
0.008078704,"STARNET TECHNOLOGIES, INC.",FALSE,MA-L,11/17/2015
0.008090278,"InnoMedia, Inc.",FALSE,MA-L,11/17/2015
00:10:9A,NETLINE,FALSE,MA-L,11/17/2015
00:10:9B,Emulex Corporation,FALSE,MA-L,11/17/2015
00:10:9C,"MG Co., Ltd.",FALSE,MA-L,1/26/2024
